,SiteID,timestamp,Device,instance,idDataAttribute,description,code,formattedValue,rawValue
0,6669,1635951354,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
1,6669,1635951354,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
2,6669,1543890108,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
3,6677,1635951392,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
4,6677,1607513844,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
5,6677,1584034749,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
6,6677,1557132251,VE.Bus System,290,40,VE.Bus state,S,Inverting,9
7,6805,1635951359,VE.Bus System,0,40,VE.Bus state,S,Bulk,3
8,6805,1635951359,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
9,6805,1545245187,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
10,6805,1545532620,VE.Bus System,290,40,VE.Bus state,S,Inverting,9
11,7486,1635951069,VE.Bus System,0,40,VE.Bus state,S,Bulk,3
12,7486,1634321341,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
13,7486,1559098816,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
14,7486,1558679852,VE.Bus System,290,40,VE.Bus state,S,Inverting,9
15,7486,1556301585,VE.Bus System,291,40,VE.Bus state,S,Inverting,9
16,7486,1543828138,VE.Bus System,292,40,VE.Bus state,S,Inverting,9
17,7525,1635339721,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
18,7525,1635339721,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
19,12672,1635951362,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
20,12672,1635951362,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
21,15676,1635951380,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
22,15676,1635951380,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
23,17160,1635951364,VE.Bus System,261,40,VE.Bus state,S,Float,5
24,17160,1629616914,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
25,17206,1635951357,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
26,17206,1635951357,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
27,18342,1635951375,VE.Bus System,261,40,VE.Bus state,S,Float,5
28,18342,1635951375,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
29,18554,1635951411,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
30,18554,1635951411,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
31,19017,1635951359,VE.Bus System,261,40,VE.Bus state,S,Absorption,4
32,19017,1635951359,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
33,19017,1554386793,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
34,19379,1542616744,VE.Bus System,261,40,VE.Bus state,S,Bulk,3
35,19418,1597744401,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
36,19418,1597410638,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
37,19863,1635950860,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
38,19863,1635950860,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
39,20084,1635362708,VE.Bus System,0,40,VE.Bus state,S,Bulk,3
40,20084,1635362708,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
41,20084,1543864073,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
42,20114,1635951403,VE.Bus System,0,40,VE.Bus state,S,Inverting,9
43,20114,1635951403,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
44,20115,1635951406,VE.Bus System,0,40,VE.Bus state,S,Bulk,3
45,20115,1635951406,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
46,20115,1544148988,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
47,21507,1635205998,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
48,21507,1635205998,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
49,21605,1635951355,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
50,21605,1635951355,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
51,21605,1550492712,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
52,21975,1635951214,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
53,21975,1635951214,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
54,22116,1635230539,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
55,22116,1635230539,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
56,22148,1635950835,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
